-451297	1.84	0.49	30.8
2014 QO296	1.84	0.47	10.9
2008 KZ5	1.84	0.45	8.4
2009 BJ58	1.85	0.71	13
2009 DH39	1.85	0.6	53.7
-196625	1.85	0.59	13.7
-23187	1.85	0.59	51.3
2015 HB10	1.85	0.57	5.7
-438908	1.85	0.54	0.4
2011 AM12	1.85	0.54	38.5
2008 HB38	1.85	0.49	1
2014 DN112	1.85	0.49	4.3
-85938	1.85	0.48	9.1
-162416	1.85	0.48	0.4
-197588	1.85	0.47	42.7
-423321	1.85	0.45	2.4
2001 GR2	1.86	0.62	11.8
2010 SC41	1.86	0.61	0.2
